Aktivitätstyp,Datum,Favorit,Titel,Distanz,Kalorien,Zeit,Ø HF,Max. HF,Aerober TE,Ø Schrittfrequenz (Laufen),Max. Schrittfrequenz (Laufen),Ø Pace,Beste Pace,Positiver Höhenunterschied,Negativer Höhenunterschied,Ø Schrittlänge,Durchschnittliches vertikales Verhältnis,Ø vertikale Bewegung,Training Stress Score®,Grit,Flow,Kletterzeit,Grundzeit,Min. Temp.,Oberflächenpause,Dekompression,Beste Rundenzeit,Anzahl der Läufe,Max. Temp.
Laufen,2019-02-16 14:20:17,false,"Zuhause - Fachsenfeld ","6.40","433","00:35:23","161","179","3.8","165","171","5:32","4:59","55","64","1.09","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","05:15.66","7","0.0"
Laufen,2019-02-15 18:25:02,false,"Aalen Laufen","2.82","248","00:17:04","183","206","3.9","167","198","6:03","4:15","39","46","0.99","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","05:55.38","3","0.0"
Laufen,2019-02-13 19:44:30,false,"Intervall Training 5x500m","2.55","157","00:12:41","165","189","2.9","168","195","4:58","3:02","--","8","1.19","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","00:55.00","9","0.0"
Laufen,2019-02-13 19:18:21,false,"Aalen Laufen","2.37","151","00:15:58","132","172","2.1","158","171","6:45","4:43","31","33","0.94","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","06:10.58","3","0.0"
Laufen,2019-02-06 18:53:07,false,"Aalen Laufen","12.01","785","01:00:44","169","182","5.0","165","171","5:03","4:32","29","63","1.20","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","04:49.07","13","0.0"
Laufen,2019-02-01 20:05:32,false,"Aalen Laufen","10.56","720","00:57:19","164","177","5.0","165","172","5:26","4:48","24","53","1.11","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","04:57.08","11","0.0"
Laufen,2019-01-27 09:12:47,false,"Aalen Laufen","12.04","783","01:01:26","167","185","5.0","166","173","5:06","4:41","33","63","1.18","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","00:00.00","13","0.0"
Laufen,2019-01-23 18:11:24,false,"Aalen Laufen","10.50","694","00:53:51","168","185","5.0","167","173","5:08","4:40","25","57","1.17","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","00:00.00","11","0.0"
Laufen,2019-01-20 08:08:46,false,"Aalen Laufen","10.76","680","00:59:04","157","175","4.3","166","171","5:29","4:56","30","58","1.10","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","00:00.00","11","0.0"
Laufen,2019-01-15 19:05:56,false,"Aalen Laufen","10.11","654","00:54:55","162","185","4.7","165","183","5:26","4:36","27","52","1.11","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","00:00.00","11","0.0"
Laufen,2019-01-04 15:03:18,false,"Hüttingen an der Kyll Laufen","18.35","1,280","01:46:35","163","180","5.0","165","172","5:49","4:35","270","264","1.04","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","00:00.00","19","0.0"
Laufen,2018-12-27 14:21:25,false,"Weimar - Kromsdrof - Goethepark","15.03","982","01:21:06","162","177","5.0","166","173","5:24","4:40","92","128","1.11","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","00:00.00","16","0.0"
Laufen,2018-12-25 14:13:38,false,"Weimar - Tiefurt ","10.76","694","00:58:27","162","181","5.0","166","180","5:26","4:50","95","97","1.11","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","00:00.00","11","0.0"
Laufen,2018-12-16 14:50:38,false,"Aalen Laufen","14.02","960","01:15:12","168","184","5.0","164","173","5:22","4:33","45","62","1.12","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","00:00.00","15","0.0"
Laufen,2018-12-11 19:56:36,false,"Aalen Laufen","11.04","785","01:00:00","169","180","5.0","163","167","5:26","4:41","22","53","1.13","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","00:00.00","12","0.0"
Laufen,2018-12-08 15:41:46,false,"Aalen Laufen","7.30","527","00:41:04","164","182","4.8","164","215","5:37","5:07","71","88","1.08","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","00:00.00","8","0.0"
